TypeOfWork,FundingYear,TotalProjects,AvgSavings,OverrunRate,YoYChange
Construction of Flood Mitigation Facility,2021,4,"1,887,789.89",0.00,0.00
Construction of Drainage Structure,2021,49,"1,178,333.24",0.00,0.00
Construction of Flood Mitigation Structure,2021,398,"1,047,173.07",11.56,0.00
Construction of Slope Protection Structure,2021,28,"966,548.88",7.14,0.00
Rehabilitation / Major Repair of Flood Control Structure,2021,47,"759,801.98",10.64,0.00
Construction of Revetment,2021,66,"431,656.42",1.52,0.00
Rehabilitation / Major Repair of Drainage Structure,2021,11,"380,416.11",9.09,0.00
Construction of Cutoff Channel,2021,1,"196,492.23",0.00,0.00
Construction of Dike,2021,10,"89,328.23",50.00,0.00
Rehabilitation / Major Repair of Slope Protection Structure,2021,5,"-2,714,661.94",60.00,0.00
Rehabilitation / Major Repair of Flood Mitigation Facility,2022,1,"4,370,780.74",0.00,0.00
Construction of Slope Protection Structure,2022,309,"848,361.91",7.77,-12.23
Rehabilitation / Major Repair of Slope Protection Structure,2022,16,"841,782.91",6.25,131.01
Construction of Flood Mitigation Facility,2022,43,"829,713.74",20.93,-56.05
Construction of Dike,2022,76,"772,732.76",6.58,765.05
Construction of Groundsill,2022,2,"752,371.18",0.00,0.00
Construction of Flood Mitigation Structure,2022,2049,"632,441.76",11.37,-39.60
Construction of Drainage Structure,2022,226,"462,623.30",13.27,-60.74
Construction of Revetment,2022,269,"460,817.62",1.86,6.76
Rehabilitation / Major Repair of Drainage Structure,2022,85,"455,786.65",7.06,19.81
Embankment,2022,1,"82,651.90",0.00,0.00
Construction of Waterway,2022,1,0.50,0.00,0.00
Construction of Spur Dike,2022,2,-99.94,50.00,0.00
Rehabilitation / Major Repair of Flood Control Structure,2022,255,"-220,009.13",18.43,-128.96
Construction of Flood Mitigation Facility,2023,74,"1,010,904.89",17.57,21.84
Rehabilitation / Major Repair of Slope Protection Structure,2023,14,"768,840.89",0.00,-8.67
Rehabilitation / Major Repair of Flood Mitigation Facility,2023,5,"742,935.05",0.00,-83.00
Rehabilitation / Major Repair of Flood Control Structure,2023,220,"703,436.67",8.18,419.73
Construction of Slope Protection Structure,2023,196,"547,223.53",5.61,-35.50
Rehabilitation / Major Repair of Drainage Structure,2023,72,"532,518.76",1.39,16.84
Construction of Waterway,2023,1,"356,123.39",0.00,"71,224,578.00"
Construction of Flood Mitigation Structure,2023,2294,"322,796.81",9.42,-48.96
Construction of Spur Dike,2023,1,"318,022.73",0.00,"318,329.58"
Construction of Drainage Structure,2023,244,"265,674.69",5.33,-42.57
Construction of Groundsill,2023,9,"235,146.99",0.00,-68.75
Construction of Cutoff Channel,2023,1,"198,580.99",0.00,0.00
Construction of Revetment,2023,236,"131,144.22",3.39,-71.54
Construction of Dike,2023,97,"22,179.13",1.03,-97.13
Repair/Maintenance of Flood Control Structures,2023,1,"1,005.69",0.00,0.00
Upgrading of Drainage Structure,2023,1,0.00,0.00,0.00
