"TypeOfWork","FundingYear","TotalProjects","AvgSavings","OverrunRate","YoYChange"
"Construction of Slope Protection Structure",2021,27,"6,321,827.79","3.70","0.00"
"Construction of Flood Mitigation Facility",2021,3,"2,517,053.19","0.00","0.00"
"Construction of Flood Mitigation Structure",2021,381,"2,502,473.48","9.71","0.00"
"Rehabilitation / Major Repair of Flood Control Structure",2021,41,"1,364,204.37","2.44","0.00"
"Construction of Drainage Structure",2021,48,"1,202,881.85","0.00","0.00"
"Construction of Revetment",2021,52,"547,871.61","1.92","0.00"
"Rehabilitation / Major Repair of Drainage Structure",2021,11,"380,416.11","9.09","0.00"
"Construction of Cutoff Channel",2021,1,"196,492.23","0.00","0.00"
"Construction of Dike",2021,9,"99,253.59","55.56","0.00"
"Rehabilitation / Major Repair of Slope Protection Structure",2021,3,"7,846.77","33.33","0.00"
"Rehabilitation / Major Repair of Flood Mitigation Facility",2022,1,"4,370,780.74","0.00","0.00"
"Construction of Flood Mitigation Structure",2022,2015,"1,200,216.39","9.88","-52.04"
"Rehabilitation / Major Repair of Flood Control Structure",2022,246,"951,959.76","15.45","-30.22"
"Construction of Slope Protection Structure",2022,308,"898,843.61","7.47","-85.78"
"Rehabilitation / Major Repair of Slope Protection Structure",2022,16,"841,782.91","6.25","10,627.76"
"Construction of Flood Mitigation Facility",2022,43,"829,713.74","20.93","-67.04"
"Construction of Drainage Structure",2022,215,"784,631.28","8.84","-34.77"
"Construction of Dike",2022,76,"772,732.76","6.58","678.54"
"Construction of Groundsill",2022,2,"752,371.18","0.00","0.00"
"Construction of Revetment",2022,269,"460,817.62","1.86","-15.89"
"Rehabilitation / Major Repair of Drainage Structure",2022,85,"455,786.65","7.06","19.81"
"Embankment",2022,1,"82,651.90","0.00","0.00"
"Construction of Waterway",2022,1,"0.50","0.00","0.00"
"Construction of Spur Dike",2022,2,"-99.94","50.00","0.00"
"Rehabilitation / Major Repair of Flood Control Structure",2023,217,"1,100,949.33","6.91","15.65"
"Construction of Flood Mitigation Facility",2023,74,"1,010,904.89","17.57","21.84"
"Construction of Flood Mitigation Structure",2023,2256,"905,259.83","7.89","-24.58"
"Rehabilitation / Major Repair of Slope Protection Structure",2023,14,"768,840.89","0.00","-8.67"
"Rehabilitation / Major Repair of Flood Mitigation Facility",2023,5,"742,935.05","0.00","-83.00"
"Rehabilitation / Major Repair of Drainage Structure",2023,71,"609,033.11","0.00","33.62"
"Construction of Slope Protection Structure",2023,196,"547,223.53","5.61","-39.12"
"Construction of Revetment",2023,234,"530,128.28","2.56","15.04"
"Construction of Waterway",2023,1,"356,123.39","0.00","71,224,578.00"
"Construction of Drainage Structure",2023,241,"330,599.14","4.15","-57.87"
"Construction of Spur Dike",2023,1,"318,022.73","0.00","318,329.58"
"Construction of Groundsill",2023,9,"235,146.99","0.00","-68.75"
"Construction of Cutoff Channel",2023,1,"198,580.99","0.00","0.00"
"Construction of Dike",2023,97,"22,179.13","1.03","-97.13"
"Repair/Maintenance of Flood Control Structures",2023,1,"1,005.69","0.00","0.00"
"Upgrading of Drainage Structure",2023,1,"0.00","0.00","0.00"
